epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,13.3493,0,53.4041,0,0,0,0,0,0,59.0742,0,0.00010002,0.00010002,0.00010002
2,17.2191,0,51.7882,0,0,0,0,0,0,58.8661,0,0.000209559,0.000209559,0.000209559
3,19.6301,0,50.038,0,0,0,0,0,0,58.6376,0,0.000311396,0.000311396,0.000311396
4,22.0634,0,47.6289,0,0,0,0,0,0,57.7708,0,0.000405531,0.000405531,0.000405531
5,24.478,0,45.1874,0,0,0,0,0,0,56.6219,0,0.000491965,0.000491965,0.000491965
6,26.9267,0,43.3009,0,0,0,0,0,0,54.5856,0,0.000570697,0.000570697,0.000570697
7,29.4288,0,41.7443,0,0,0,0,0,0,53.8392,0,0.000641728,0.000641728,0.000641728
8,32.0562,0,40.6385,0,0,0,0,0,0,49.3881,0,0.000705058,0.000705058,0.000705058
9,34.7645,0,39.5057,0,0,0,0,0,0,47.2185,0,0.000760685,0.000760685,0.000760685
10,37.4735,0,38.6187,0,0,0,0,0,0,44.736,0,0.000808612,0.000808612,0.000808612
11,40.3033,0,38.1047,0,0,0,0,0,0,40.8175,0,0.000848836,0.000848836,0.000848836
12,43.0289,0,37.3299,0,0,0,0,0,0,38.95,0,0.00088136,0.00088136,0.00088136
13,45.7301,0,36.874,0,0,0,0,0,0,37.4182,0,0.000906181,0.000906181,0.000906181
14,48.3942,0,36.3648,0,0,0,0,0,0,37.4182,0,0.000923301,0.000923301,0.000923301
15,51.0353,0,36.0095,0,0,0,0,0,0,36.0862,0,0.000896846,0.000896846,0.000896846
16,53.6692,0,35.4679,0,0,0,0,0,0,35.0339,0,0.000841835,0.000841835,0.000841835
17,56.4014,0,35.0758,0,0,0,0,0,0,34.143,0,0.000786824,0.000786824,0.000786824
18,59.1597,0,34.7782,0,0,0,0,0,0,33.6536,0,0.000731813,0.000731813,0.000731813
19,61.8382,0,34.355,0,0,0,0,0,0,33.3202,0,0.000676802,0.000676802,0.000676802
20,64.6996,0,34.0921,0,0,0,0,0,0,33.081,0,0.000621791,0.000621791,0.000621791
21,67.3081,0,33.8047,0,0,0,0,0,0,33.8967,0,0.00056678,0.00056678,0.00056678
22,69.7232,0,33.4423,0,0,0,0,0,0,33.8967,0,0.000511769,0.000511769,0.000511769
23,72.3552,0,33.557,0,0,0,0,0,0,34.758,0,0.000456758,0.000456758,0.000456758
24,74.8478,0,32.9894,0,0,0,0,0,0,35.1836,0,0.000401747,0.000401747,0.000401747
25,77.2965,0,32.8829,0,0,0,0,0,0,35.1026,0,0.000346736,0.000346736,0.000346736
26,79.7052,0,32.7205,0,0,0,0,0,0,34.9634,0,0.000291725,0.000291725,0.000291725
27,82.1951,0,32.6167,0,0,0,0,0,0,34.8734,0,0.000236714,0.000236714,0.000236714
28,84.5923,0,32.4225,0,0,0,0,0,0,34.8321,0,0.000181703,0.000181703,0.000181703
29,87.0197,0,32.3321,0,0,0,0,0,0,34.8802,0,0.000126692,0.000126692,0.000126692
30,89.4348,0,32.2372,0,0,0,0,0,0,34.8802,0,7.1681e-05,7.1681e-05,7.1681e-05
