epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,4.0724,0,53.418,0,0,0,0,0,0,59.0837,0,0.00010002,0.00010002,0.00010002
2,6.89106,0,51.7873,0,0,0,0,0,0,58.8622,0,0.000214565,0.000214565,0.000214565
3,9.30816,0,50.0655,0,0,0,0,0,0,58.6626,0,0.000326799,0.000326799,0.000326799
4,11.7857,0,47.8984,0,0,0,0,0,0,57.7982,0,0.000436722,0.000436722,0.000436722
5,14.3499,0,45.5534,0,0,0,0,0,0,56.5467,0,0.000544336,0.000544336,0.000544336
6,16.8753,0,43.3741,0,0,0,0,0,0,54.4685,0,0.000649638,0.000649638,0.000649638
7,19.4736,0,41.3317,0,0,0,0,0,0,53.0403,0,0.00075263,0.00075263,0.00075263
8,22.0798,0,40.0688,0,0,0,0,0,0,50.6209,0,0.000853312,0.000853312,0.000853312
9,24.7488,0,39.6265,0,0,0,0,0,0,72.9109,0,0.000951684,0.000951684,0.000951684
10,27.4155,0,38.3334,0,0,0,0,0,0,57.3433,0,0.00104774,0.00104774,0.00104774
11,30.0092,0,37.3622,0,0,0,0,0,0,48.2578,0,0.00114149,0.00114149,0.00114149
12,32.5722,0,36.7329,0,0,0,0,0,0,40.3523,0,0.00123293,0.00123293,0.00123293
13,35.204,0,35.8451,0,0,0,0,0,0,36.5227,0,0.00132206,0.00132206,0.00132206
14,37.585,0,35.0157,0,0,0,0,0,0,36.5227,0,0.00140888,0.00140888,0.00140888
15,40.2,0,34.4079,0,0,0,0,0,0,36.2189,0,0.00143595,0.00143595,0.00143595
16,42.8201,0,33.6947,0,0,0,0,0,0,34.925,0,0.00141945,0.00141945,0.00141945
17,45.4413,0,33.1197,0,0,0,0,0,0,31.9796,0,0.00140295,0.00140295,0.00140295
18,48.0028,0,32.4924,0,0,0,0,0,0,31.087,0,0.00138644,0.00138644,0.00138644
19,50.4693,0,31.8576,0,0,0,0,0,0,31.2622,0,0.00136994,0.00136994,0.00136994
20,52.9508,0,31.235,0,0,0,0,0,0,30.6758,0,0.00135344,0.00135344,0.00135344
21,55.4617,0,30.4981,0,0,0,0,0,0,30.3081,0,0.00133693,0.00133693,0.00133693
22,57.8211,0,29.913,0,0,0,0,0,0,30.3081,0,0.00132043,0.00132043,0.00132043
23,60.3381,0,29.3792,0,0,0,0,0,0,29.4571,0,0.00130393,0.00130393,0.00130393
24,62.7722,0,28.8179,0,0,0,0,0,0,28.6776,0,0.00128742,0.00128742,0.00128742
25,65.2798,0,28.272,0,0,0,0,0,0,28.2084,0,0.00127092,0.00127092,0.00127092
